iter	RMSE
0	1.223846641
1	1.01023031
2	0.8797076269
3	0.7931136676
4	0.741322921
5	0.7049809876
6	0.6816912692
7	0.665402181
8	0.6502382042
9	0.641853682
10	0.6341993685
11	0.6288576259
12	0.6234825902
13	0.6184420735
14	0.6152874904
15	0.6132363793
16	0.6106497322
17	0.6064921643
18	0.6036785305
19	0.6029771256
20	0.5987492442
21	0.5972953939
22	0.5947320929
23	0.5929319527
24	0.5899612495
25	0.5870264936
26	0.5836860842
27	0.5823307384
28	0.5814305506
29	0.5811967428
30	0.5791102955
31	0.5773857764
32	0.5754918749
33	0.575285279
34	0.5729709624
35	0.5707231458
36	0.5693398984
37	0.5660330766
38	0.5659019572
39	0.5644394437
40	0.5618016471
41	0.5609541143
