iter	Passed	Remaining
0	648	323507
1	1048	260986
2	1637	271351
3	2184	270887
4	2766	273886
5	3231	266041
6	3746	263889
7	4284	263486
8	4717	257340
9	5282	258822
10	5734	254940
11	6251	254244
12	6808	255051
13	7340	254819
14	7917	256011
15	8443	255430
16	8931	253759
17	9401	251741
18	9899	250619
19	10562	253506
20	11098	253156
21	11671	253585
22	12278	254637
23	12959	257028
24	13498	256477
25	14123	257487
26	14565	255162
27	14966	252297
28	15415	250369
29	15934	249638
30	16375	247752
31	16947	247854
32	17415	246450
33	17672	242223
34	18222	242098
35	18710	241163
36	19206	240339
37	19690	239400
38	19952	235843
39	20396	234554
40	20838	233285
41	21322	232518
