iter	RMSE
0	1.116467263
1	1.049777069
2	1.008977814
3	0.9795497903
4	0.9607698083
5	0.9473011384
6	0.9393568484
7	0.9335624844
8	0.9296481324
9	0.9250691458
10	0.9218691294
11	0.9167012065
12	0.9147989805
13	0.9130314808
14	0.9108269043
15	0.9087833393
16	0.9076383997
17	0.906554029
18	0.9051456725
19	0.9039104167
20	0.902797215
21	0.901543216
22	0.9007288926
23	0.8996870256
24	0.8990569148
25	0.8985674796
26	0.8979363502
27	0.8970745072
28	0.8962730274
29	0.8956326182
30	0.8936792019
31	0.8929657013
32	0.8922239257
33	0.8915676791
34	0.8911047158
35	0.8905026844
36	0.8886174176
37	0.8867038503
38	0.8861158881
39	0.8855697375
40	0.8850820959
41	0.8843582091
42	0.8839027412
43	0.8833796603
44	0.8827010871
45	0.8822586671
46	0.8818251469
47	0.8811681536
48	0.8808371991
49	0.8805136599
50	0.8802571824
51	0.8798695913
52	0.8794974482
53	0.8790192222
54	0.8784100066
55	0.877934797
56	0.8775431883
57	0.8771989923
58	0.8769350608
59	0.8763124351
60	0.8760335044
61	0.8756351235
62	0.8754484241
63	0.8751948125
64	0.8748839158
65	0.8745752191
66	0.8742995504
67	0.8740460917
68	0.8737297175
69	0.8734115663
70	0.8731760873
71	0.8727721959
72	0.8725127504
73	0.8722800889
74	0.8721027345
75	0.8718302776
76	0.8714927249
77	0.8712027963
78	0.8709255309
79	0.8707115312
80	0.8702637247
81	0.870033
82	0.8698990118
83	0.8696946056
84	0.8694058113
85	0.8691625322
86	0.8687399822
87	0.8685650698
88	0.86835881
89	0.8681476801
90	0.8679856605
91	0.8677054682
92	0.867212145
93	0.8671075837
94	0.8670042109
95	0.8668192242
96	0.866653863
97	0.8660544154
98	0.865732349
99	0.8654622099
100	0.8653092419
101	0.8652147191
102	0.8650824382
103	0.8649846287
104	0.8647012394
105	0.8644483726
106	0.864254501
107	0.864137575
108	0.8639584452
109	0.8638367151
110	0.863743583
111	0.8636151132
112	0.8634869404
113	0.8633122567
114	0.862836175
115	0.8626975362
116	0.862513477
117	0.8622490698
118	0.8621146959
119	0.8617177581
120	0.8616375547
121	0.8614904068
122	0.8613696208
123	0.8612675258
124	0.86110596
125	0.8608461544
126	0.8607247703
127	0.860643365
128	0.8605291749
129	0.8599359217
130	0.8597772011
131	0.8597284752
132	0.8595549516
133	0.8594310587
134	0.8593793966
135	0.8592735689
136	0.8590777441
137	0.8588244192
138	0.8586862466
139	0.8586237081
140	0.8585001475
141	0.8583975335
142	0.8583275037
143	0.8582050748
144	0.8580087345
145	0.857762168
146	0.857667857
147	0.8575471852
148	0.8574141836
149	0.8573318107
150	0.8572170072
151	0.8571423317
152	0.8569748656
