iter	Passed	Remaining
0	999	498562
1	1654	411968
2	2319	384340
3	2998	371796
4	3676	363986
5	4384	360977
6	5081	357911
7	5844	359418
8	6545	357093
9	7176	351658
10	7980	354782
11	8831	359158
12	9538	357336
13	10168	353008
14	10813	349634
15	11530	348810
16	12187	346264
17	12825	343437
18	13437	340187
19	13935	334443
20	14503	330823
21	15309	332629
22	16008	332004
23	17044	338053
24	17964	341322
25	18822	343153
26	19681	344782
27	20518	345884
28	21485	348951
29	22123	346604
30	23099	349474
31	23884	349313
32	24853	351718
33	25504	349559
34	26277	349117
35	27098	349266
36	27794	347804
37	28488	346362
38	29535	349129
39	30228	347630
40	31014	347215
41	31703	345722
42	32311	343399
43	33123	343279
44	33961	343384
45	34689	342370
46	35654	343652
47	36774	346296
48	37628	346331
49	38498	346485
50	39306	346054
51	40108	345546
52	41011	345890
53	41969	346637
54	42815	346417
55	43782	347131
56	44717	347545
57	45610	347585
58	46476	347391
59	47361	347320
60	48144	346483
61	48684	343929
62	49526	343542
63	50258	342388
64	51143	342269
65	51976	341781
66	52678	340441
67	53400	339249
68	54119	338053
69	55235	339303
70	56314	340265
71	57175	339877
72	58121	339969
73	58951	339370
74	59501	337176
75	60235	336051
76	61117	335748
77	61934	335080
78	62802	334682
79	63619	334004
80	64560	333961
81	65332	333036
82	65997	331576
83	66817	330907
84	67453	329333
85	68278	328687
86	69035	327719
87	69741	326518
88	70481	325483
89	71524	325835
90	72393	325371
91	73115	324253
92	73905	323437
93	74690	322599
94	75364	321292
95	76169	320548
96	77000	319909
97	77676	318630
98	78516	318029
99	79167	316671
100	80153	316646
101	81043	316229
102	82092	316415
103	82862	315515
104	83661	314725
105	84641	314612
106	85596	314386
107	86375	313509
108	87216	312859
109	87942	311797
110	88846	311362
111	89591	310369
112	90230	309018
113	91167	308691
114	91966	307889
115	92848	307359
116	93789	307021
117	94835	307008
118	95632	306185
119	96701	306220
120	97506	305413
121	98396	304868
122	99056	303612
123	99819	302679
124	100661	301983
125	101479	301216
126	102349	300601
127	103192	299902
128	103924	298882
129	104793	298259
130	105504	297185
131	106264	296253
132	106945	295106
133	107461	293515
134	108278	292753
135	108899	291467
136	109492	290115
137	110174	289007
138	110862	287923
139	111527	286784
140	112193	285655
141	113040	284990
142	113777	284045
143	114522	283123
144	115321	282339
145	116130	281575
146	116896	280711
147	117512	279488
148	118112	278237
149	118883	277394
150	119580	276381
151	120295	275412
152	121118	274692
